rebalance_date,overall_tradable_nav,overall_basket_level,overall_cash_weight,overall_price_coverage_share,n_baskets,total_entries,total_exits,total_turnover,rebalanced_baskets
2024-02-05,127.34156515727106,127.34156515727106,0.709220384828753,0.9415927938232772,10,0,0,0.0,7
2024-02-06,127.64988272178022,127.64988272178022,0.7091352573254928,0.9415927938232772,10,0,0,0.0,7
2024-02-07,146.30388245293625,146.30388245293625,0.7068447103609395,0.9415927938232772,10,0,0,0.0,7
2024-02-08,146.55978358968406,146.55978358968406,0.7793420006596271,0.9221237250977029,10,0,1,0.0,8
2024-02-09,148.08442723573205,148.08442723573205,0.7789609130218372,0.9221237250977029,10,0,0,0.0,8
2024-02-10,147.99538724942983,147.99538724942983,0.77898192842024,0.9221237250977029,10,0,0,0.0,8
2024-02-11,148.08442723573205,148.08442723573205,0.7789609130218372,0.9221237250977029,10,0,0,0.0,8
2024-02-12,147.9653196421151,147.9653196421151,0.7789890578894919,0.9221237250977029,10,0,0,0.0,8
2024-02-13,147.715741889465,147.715741889465,0.7790488859087267,0.9221237250977029,10,0,0,0.0,8
2024-02-14,147.90717786001477,147.90717786001477,0.77900289152655,0.9221237250977029,10,0,0,0.0,8
2024-02-15,129.33191871376033,129.33191871376033,0.7812747187807427,0.9221237250977029,10,0,0,0.0,8
2024-02-16,129.33191871376033,129.33191871376033,0.7812747187807427,0.9221237250977029,10,0,0,0.0,8
2024-02-17,132.02032827032846,132.02032827032846,0.7819464302735679,0.8769580275156484,10,0,1,0.09432346782624389,9
2024-02-18,134.2988888158586,134.2988888158586,0.7819464302735678,0.831792329933594,10,0,1,0.24717728631817712,9
2024-02-19,153.44471077987282,153.44471077987282,0.7795491189423222,0.831792329933594,10,0,0,0.0,8
2024-02-20,153.44471077987282,153.44471077987282,0.7795491189423222,0.831792329933594,10,0,0,0.0,8
2024-02-21,153.44471077987282,153.44471077987282,0.7795491189423222,0.831792329933594,10,0,0,0.0,8
2024-02-22,153.44471077987282,153.44471077987282,0.7055666577851398,0.8512613986591683,10,1,0,0.4749999999999999,8
2024-02-23,153.44471077987282,153.44471077987282,0.7055666577851398,0.8512613986591683,10,0,0,0.0,7
2024-02-24,153.44471077987282,153.44471077987282,0.7055666577851398,0.8512613986591683,10,0,0,0.0,7
2024-02-25,153.44471077987282,153.44471077987282,0.7055666577851398,0.8512613986591683,10,0,0,0.0,7
2024-02-26,154.75623673416135,154.75623673416135,0.7052977403743854,0.8512613986591683,10,0,0,0.0,7
2024-02-27,154.75623673416135,154.75623673416135,0.7052977403743854,0.8512613986591683,10,0,0,0.0,7
2024-02-28,154.75623673416135,154.75623673416135,0.7052977403743854,0.8512613986591683,10,0,0,0.0,7
2024-02-29,154.92017747844744,154.92017747844744,0.8343956602606875,0.8060957010771138,10,0,1,0.0,8
2024-03-01,154.92017747844744,154.92017747844744,0.9106686683824231,0.9221237250977029,10,1,1,0.48717948717948717,10
