rebalance_date,domain,basket_code,basket_name,basket_weight,tradable_nav,basket_level,tail_probability_weight_share,proxy_weight_share,slot_coverage_ratio,direction_balance_score,cash_weight,price_coverage_share,entries,exits,turnover,transaction_cost,rebalanced
2022-07-19,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-20,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-21,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-22,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-23,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-24,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-25,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-26,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-27,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-28,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-29,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-30,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-07-31,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-01,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-02,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-03,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-04,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-05,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-06,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-07,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-08,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
2022-08-09,ENERGY,ADIT-E3,Oil Supply Disruption,0.2753,100.0,100.0,,,,,1.0,1.0,0,0,0.0,0.0,True
