rebalance_date,domain,basket_code,basket_name,avg_days_to_expiry,expiring_30d_share,expiring_60d_share,certainty_share,turnover,base_cost_bps,turnover_component_bps,expiry_component_bps,certainty_component_bps,estimated_total_cost_bps,estimated_cost_drag_return,cash_weight
2023-07-01,GENERAL,ADIT-X3,Major Economy Recession,25.0,1.0,1.0,0.0,0.03215000000000001,18.0,1.1252500000000003,16.0,0.0,35.12525,0.00011292767875000005,0.15707300000000002
2023-10-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,30.0,1.0,1.0,0.0,0.45,18.0,15.75,16.0,0.0,49.75,0.00223875,0.22999999999999998
2023-10-01,POLITICAL,ADIT-P2,EM Governance,30.0,1.0,1.0,0.0,0.45,18.0,15.75,16.0,0.0,49.75,0.00223875,0.22999999999999998
2023-10-01,POLITICAL,ADIT-P4,US Governance,91.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2023-11-01,ENERGY,ADIT-E3,Oil Supply Disruption,77.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2023-11-01,POLITICAL,ADIT-P4,US Governance,60.0,0.0,1.0,0.0,0.065,18.0,2.275,6.0,0.0,26.275,0.0001707875,0.1643
2023-12-01,ENERGY,ADIT-E3,Oil Supply Disruption,47.0,0.0,1.0,0.0,0.065,18.0,2.275,6.0,0.0,26.275,0.0001707875,0.1643
2024-01-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,45.0,0.5,1.0,0.0,0.45,18.0,15.75,11.0,0.0,44.75,0.00201375,0.22999999999999998
2024-01-01,GENERAL,ADIT-X3,Major Economy Recession,45.0,0.5,1.0,0.0,0.45,18.0,15.75,11.0,0.0,44.75,0.00201375,0.22999999999999998
2024-01-01,POLITICAL,ADIT-P4,US Governance,120.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2024-02-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,28.666666666666668,1.0,1.0,0.0,0.44999999999999996,18.0,15.749999999999998,16.0,0.0,49.75,0.00223875,0.22999999999999998
2024-02-01,GENERAL,ADIT-X3,Major Economy Recession,45.0,0.25,1.0,0.0,0.61,18.0,21.349999999999998,8.5,0.0,47.849999999999994,0.0029188499999999997,0.22999999999999998
2024-02-01,POLITICAL,ADIT-P4,US Governance,89.0,0.0,0.0,0.0,0.065,18.0,2.275,0.0,0.0,20.275,0.0001317875,0.1643
2024-03-01,GENERAL,ADIT-X3,Major Economy Recession,218.4,0.2,0.2,,0.655,18.0,22.925,3.2,0.0,44.125,0.0028901875,0.22999999999999998
2024-03-01,POLITICAL,ADIT-P4,US Governance,60.0,0.0,1.0,0.0,0.41785,18.0,14.62475,6.0,0.0,38.62475,0.00161393517875,0.22999999999999998
2024-04-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,29.0,1.0,1.0,0.0,0.45,18.0,15.75,16.0,0.0,49.75,0.00223875,0.22999999999999998
2024-04-01,GENERAL,ADIT-X3,Major Economy Recession,214.83333333333334,0.16666666666666666,0.16666666666666666,,0.385,18.0,13.475,2.6666666666666665,0.0,34.141666666666666,0.0013144541666666666,0.22999999999999998
2024-04-01,POLITICAL,ADIT-P4,US Governance,29.0,1.0,1.0,1.0,0.45,18.0,15.75,16.0,25.0,74.75,0.0033637500000000004,0.22999999999999998
2024-05-01,POLITICAL,ADIT-P4,US Governance,187.0,0.0,0.0,0.0,0.835,18.0,29.224999999999998,0.0,0.0,47.224999999999994,0.0039432875,0.22999999999999998
2024-06-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,157.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2024-06-01,POLITICAL,ADIT-P4,US Governance,156.0,0.0,0.0,0.0,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2024-07-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,94.0,0.0,0.0,0.0,0.385,18.0,13.475,0.0,0.0,31.475,0.0012117875000000001,0.22999999999999998
2024-07-01,POLITICAL,ADIT-P4,US Governance,126.0,0.0,0.0,0.0,0.065,18.0,2.275,0.0,0.0,20.275,0.0001317875,0.1643
2024-08-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,78.0,0.0,0.5,0.0,0.45,18.0,15.75,3.0,0.0,36.75,0.00165375,0.22999999999999998
2024-09-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,41.0,0.6666666666666666,0.6666666666666666,0.0,0.23500000000000001,18.0,8.225,10.666666666666666,0.0,36.891666666666666,0.0008669541666666668,0.2017
2024-10-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,31.666666666666668,0.6666666666666666,1.0,0.0,0.6339326086956522,18.0,22.187641304347824,12.666666666666666,0.0,52.854307971014485,0.0033506069332868613,0.22999999999999998
2024-10-01,ENERGY,ADIT-E3,Oil Supply Disruption,32.0,0.0,1.0,0.0,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
